0.00 --> 0.46 :  Key
0.46 --> 0.86 :  lesson.
1.44 --> 1.80 :  Even
1.80 --> 2.34 :  giants
2.34 --> 2.76 :  must
2.76 --> 3.16 :  adapt
3.16 --> 3.64 :  or
3.64 --> 3.96 :  face
3.96 --> 4.22 :  the
4.22 --> 4.86 :  consequences.
5.62 --> 5.76 :  Our
5.76 --> 6.10 :  final
6.10 --> 6.40 :  stop
6.40 --> 6.64 :  is
6.64 --> 7.42 :  2022.
8.14 --> 8.42 :  Amazon
8.42 --> 8.98 :  seemed
8.98 --> 9.56 :  invincible.
10.14 --> 10.22 :  The
10.22 --> 10.58 :  global
10.58 --> 11.08 :  pandemic
11.08 --> 11.32 :  had
11.32 --> 11.96 :  supercharged
11.96 --> 12.26 :  its
12.26 --> 12.56 :  business
12.56 --> 12.96 :  as
12.96 --> 13.24 :  people
13.24 --> 13.56 :  stuck
13.56 --> 13.76 :  at
13.76 --> 13.96 :  home
13.96 --> 14.30 :  relied
14.30 --> 14.54 :  on
14.54 --> 14.66 :  it
14.66 --> 14.80 :  for
14.80 --> 15.22 :  everything.
15.96 --> 16.06 :  The
16.06 --> 16.54 :  company's
16.54 --> 16.94 :  revenue
16.94 --> 17.18 :  and
17.18 --> 17.46 :  stock
17.46 --> 17.74 :  price
17.74 --> 18.00 :  had
18.00 --> 18.50 :  soared
18.50 --> 18.62 :  to
18.62 --> 19.62 :  unimaginable
19.62 --> 19.92 :  heights.
20.54 --> 20.74 :  They
20.74 --> 20.90 :  had
20.90 --> 21.18 :  hired
21.18 --> 21.66 :  hundreds
21.66 --> 21.86 :  of
21.86 --> 22.14 :  thousands
22.14 --> 22.38 :  of
22.38 --> 22.66 :  people
22.66 --> 22.86 :  in
22.86 --> 22.96 :  a
22.96 --> 23.18 :  short
23.18 --> 23.62 :  period
23.62 --> 23.86 :  to
23.86 --> 24.06 :  meet
24.06 --> 24.24 :  the
24.24 --> 24.68 :  overwhelming
24.68 --> 25.12 :  demand.
25.74 --> 25.98 :  It
25.98 --> 26.18 :  looked
26.18 --> 26.40 :  like
26.40 --> 26.54 :  the
26.54 --> 26.76 :  growth
26.76 --> 26.96 :  would
26.96 --> 27.46 :  continue
27.46 --> 27.82 :  forever.
28.32 --> 28.64 :  They
28.64 --> 28.80 :  had
28.80 --> 29.30 :  expanded
29.30 --> 29.52 :  their
29.52 --> 29.84 :  warehouse
29.84 --> 30.32 :  footprint
30.32 --> 30.58 :  at
30.58 --> 30.74 :  an
30.74 --> 31.28 :  incredible
31.28 --> 31.66 :  pace,
32.08 --> 32.58 :  essentially
32.58 --> 33.02 :  doubling
33.02 --> 33.24 :  their
33.24 --> 33.72 :  capacity
33.72 --> 34.00 :  in
34.00 --> 34.24 :  just
34.24 --> 34.76 :  24
34.76 --> 35.08 :  months.
35.82 --> 36.02 :  But
36.02 --> 36.24 :  as
36.24 --> 36.42 :  the
36.42 --> 36.60 :  world
36.60 --> 36.96 :  began
36.96 --> 37.16 :  to
37.16 --> 37.52 :  reopen,
