0.00 --> 0.50 :  Key
0.50 --> 0.92 :  lesson,
1.36 --> 1.66 :  your
1.66 --> 2.04 :  biggest
2.04 --> 2.56 :  problem
2.56 --> 2.90 :  can
2.90 --> 3.30 :  become
3.30 --> 3.60 :  your
3.60 --> 4.00 :  biggest
4.00 --> 4.66 :  product.
5.42 --> 6.08 :  Fast
6.08 --> 6.40 :  forward
6.40 --> 6.68 :  to
6.68 --> 7.38 :  2003,
7.98 --> 8.24 :  Amazon
8.24 --> 8.52 :  had
8.52 --> 8.90 :  survived
8.90 --> 9.18 :  the
9.18 --> 9.36 :  dot
9.36 --> 9.64 : -com
9.64 --> 9.96 :  bust.
10.28 --> 10.48 :  It
10.48 --> 10.60 :  was
10.60 --> 10.88 :  growing
10.88 --> 11.28 :  again,
11.68 --> 11.76 :  a
11.76 --> 12.14 :  real
12.14 --> 12.76 :  sustainable
12.76 --> 13.32 :  business.
13.80 --> 14.00 :  But
14.00 --> 14.40 :  inside
14.40 --> 14.68 :  the
14.68 --> 15.00 :  company,
15.24 --> 15.42 :  there
15.42 --> 15.54 :  was
15.54 --> 15.66 :  a
15.66 --> 16.04 :  huge
16.04 --> 16.52 :  problem
16.52 --> 16.70 :  that
16.70 --> 17.10 :  customers
17.10 --> 17.50 :  never
17.50 --> 17.86 :  saw.
18.48 --> 19.12 :  Amazon's
19.12 --> 19.50 :  website
19.50 --> 19.72 :  was
19.72 --> 19.96 :  built
19.96 --> 20.16 :  on
20.16 --> 20.24 :  a
20.24 --> 20.70 :  messy,
20.92 --> 21.28 :  tangled
21.28 --> 21.56 :  web
21.56 --> 21.72 :  of
21.72 --> 22.30 :  technology.
22.82 --> 23.26 :  Different
23.26 --> 23.70 :  teams
23.70 --> 23.86 :  had
23.86 --> 24.00 :  built
24.00 --> 24.38 :  different
24.38 --> 24.76 :  parts,
25.04 --> 25.24 :  and
25.24 --> 25.44 :  none
25.44 --> 25.58 :  of
25.58 --> 25.72 :  them
25.72 --> 25.98 :  worked
25.98 --> 26.20 :  well
26.20 --> 26.58 :  together.
26.58 --> 27.34 :  It
27.34 --> 27.44 :  was
27.44 --> 27.62 :  like
27.62 --> 27.92 :  trying
27.92 --> 28.06 :  to
28.06 --> 28.24 :  build
28.24 --> 28.40 :  a
28.40 --> 29.04 :  skyscraper
29.04 --> 29.28 :  on
29.28 --> 29.38 :  a
29.38 --> 29.92 :  foundation
29.92 --> 30.10 :  of
30.10 --> 30.50 :  sand.
31.10 --> 31.44 :  Every
31.44 --> 31.70 :  time
31.70 --> 31.88 :  they
31.88 --> 32.06 :  wanted
32.06 --> 32.22 :  to
32.22 --> 32.42 :  launch
32.42 --> 32.58 :  a
32.58 --> 32.74 :  new
32.74 --> 33.10 :  feature,
33.54 --> 33.60 :  it
33.60 --> 33.78 :  took
33.78 --> 34.12 :  months
34.12 --> 34.42 :  of
34.42 --> 34.78 :  painful
34.78 --> 35.20 :  work
35.20 --> 35.40 :  to
35.40 --> 35.84 :  untangle
35.84 --> 36.04 :  the
36.04 --> 36.32 :  code.
36.90 --> 37.06 :  The
37.06 --> 37.56 :  company's
37.56 --> 37.82 :  growth
37.82 --> 38.06 :  was
38.06 --> 38.30 :  being
38.30 --> 38.70 :  choked
38.70 --> 38.92 :  by
38.92 --> 39.10 :  its
39.10 --> 39.38 :  own
39.38 --> 39.76 :  internal
39.76 --> 40.12 :  chaos.
40.86 --> 41.14 :  This
41.14 --> 41.84 :  technological
41.84 --> 42.16 :  mess
42.16 --> 42.50 :  was
42.50 --> 42.68 :  their
42.68 --> 43.10 :  single
43.10 --> 43.54 :  biggest
43.54 --> 44.24 :  bottleneck.
44.92 --> 45.10 :  The
45.10 --> 45.58 :  internal
45.58 --> 45.90 :  teams
