0.00 --> 0.42 :  Key
0.42 --> 0.76 :  lesson.
1.30 --> 1.54 :  Play
1.54 --> 1.88 :  the
1.88 --> 2.24 :  long
2.24 --> 2.56 :  game
2.56 --> 2.88 :  when
2.88 --> 3.48 :  everyone
3.48 --> 3.88 :  else
3.88 --> 4.02 :  is
4.02 --> 4.30 :  playing
4.30 --> 4.46 :  the
4.46 --> 4.66 :  short
4.66 --> 4.98 :  one.
5.32 --> 5.68 :  Let's
5.68 --> 5.80 :  go
5.80 --> 5.96 :  back
5.96 --> 6.18 :  to
6.18 --> 6.74 :  1999.
7.44 --> 7.56 :  The
7.56 --> 7.94 :  internet
7.94 --> 8.24 :  was
8.24 --> 8.44 :  the
8.44 --> 8.82 :  Wild
8.82 --> 9.32 :  West.
9.60 --> 10.02 :  Everyone
10.02 --> 10.32 :  was
10.32 --> 10.52 :  throwing
10.52 --> 10.90 :  money
10.90 --> 11.16 :  at
11.16 --> 11.56 :  any
11.56 --> 11.96 :  company
11.96 --> 12.24 :  with
12.24 --> 12.36 :  a
12.36 --> 12.96 :  .com
12.96 --> 13.26 :  in
13.26 --> 13.42 :  its
13.42 --> 13.68 :  name.
14.24 --> 14.62 :  Amazon
14.62 --> 14.92 :  was
14.92 --> 15.08 :  the
15.08 --> 15.36 :  king
15.36 --> 15.54 :  of
15.54 --> 15.72 :  this
15.72 --> 15.90 :  new
15.90 --> 16.24 :  world,
16.52 --> 16.58 :  the
16.58 --> 16.96 :  poster
16.96 --> 17.32 :  child
17.32 --> 17.52 :  for
17.52 --> 17.74 :  e
17.74 --> 17.96 : -commerce.
18.46 --> 18.68 :  Its
18.68 --> 18.94 :  stock
18.94 --> 19.18 :  price
19.18 --> 19.58 :  was
19.58 --> 20.08 :  soaring.
20.44 --> 20.56 :  It
20.56 --> 20.82 :  seemed
20.82 --> 21.02 :  like
21.02 --> 21.16 :  the
21.16 --> 21.46 :  party
21.46 --> 21.66 :  would
21.66 --> 21.92 :  never
21.92 --> 22.30 :  end.
22.70 --> 22.88 :  You
22.88 --> 23.12 :  felt
23.12 --> 23.32 :  like
23.32 --> 23.48 :  you
23.48 --> 23.60 :  were
23.60 --> 23.74 :  on
23.74 --> 24.02 :  top
24.02 --> 24.20 :  of
24.20 --> 24.34 :  the
24.34 --> 24.60 :  world
24.60 --> 25.12 :  building
25.12 --> 25.52 :  something
25.52 --> 25.70 :  that
25.70 --> 25.82 :  was
25.82 --> 26.22 :  changing
26.22 --> 26.44 :  how
26.44 --> 26.72 :  people
26.72 --> 27.24 :  shopped
27.24 --> 27.54 :  forever.
27.54 --> 28.28 :  The
28.28 --> 28.54 :  company
28.54 --> 28.96 :  wasn't
28.96 --> 29.14 :  just
29.14 --> 29.42 :  selling
29.42 --> 29.72 :  books
29.72 --> 30.14 :  anymore.
30.54 --> 30.60 :  It
30.60 --> 30.72 :  was
30.72 --> 31.12 :  expanding
31.12 --> 31.46 :  into
31.46 --> 31.94 :  music,
32.26 --> 32.74 :  electronics,
33.02 --> 33.04 :  and
33.04 --> 33.42 :  toys.
33.92 --> 34.34 :  Revenue
34.34 --> 34.64 :  was
34.64 --> 35.40 :  exploding,
35.84 --> 35.98 :  growing
35.98 --> 36.22 :  by
36.22 --> 36.68 :  hundreds
36.68 --> 36.86 :  of
36.86 --> 37.20 :  percent
